num,edge%,cloud%,optimal,algorithm
,0.0,1.0,0.0,0.0
outs1/out10-30,0.29824561403508776,0.7017543859649122,50.5,50.0
outs1/out15-30,0.2325581395348837,0.7674418604651163,76.66666666666667,74.33333333333333
outs1/out20-30,0.3538461538461538,0.6461538461538462,101.2,99.5
outs1/out25-30,0.3415977961432507,0.6584022038567493,126.46666666666667,132.06666666666666
outs1/out30-30,0.30000000000000004,0.7,150.33333333333334,147.33333333333334
outs1/out35-30,0.34719334719334716,0.6528066528066528,175.35714285714286,181.0
outs1/out40-30,0.34538152610441764,0.6546184738955824,200.57894736842104,214.42105263157896
outs1/out45-30,0.36074270557029176,0.6392572944297082,227.1764705882353,234.23529411764707
outs1/out50-30,0.37067938021454117,0.6293206197854588,248.94117647058823,266.4117647058824
outs1/out55-30,0.34627170582226763,0.6537282941777324,276.1111111111111,280.8888888888889
outs1/out60-30,0.37677304964539005,0.62322695035461,301.57894736842104,321.3157894736842
outs1/out65-30,0.38398692810457513,0.6160130718954249,322.42105263157896,348.7368421052632
outs1/out70-30,0.38315629742033386,0.6168437025796661,347.4736842105263,367.2105263157895
outs1/out75-30,0.3862788963460104,0.6137211036539896,375.05555555555554,393.44444444444446
outs1/out80-30,0.3684559310801856,0.6315440689198144,395.94736842105266,425.05263157894734
outs1/out85-30,0.37129300118623965,0.6287069988137604,422.0,442.55
outs1/out90-30,0.3713646532438478,0.6286353467561522,443.95,467.25
outs1/out95-30,0.38552089464390815,0.6144791053560918,471.8888888888889,498.8333333333333
outs1/out100-30,0.38552089464390815,0.6144791053560918,495.85,533.75
